지 역,,,18년 01,18년 02,전분기대비,18년 03,전분기대비,18년 04,전분기대비,19년 01,전분기대비,19년 02,전분기대비,19년 03,전분기대비,19년 04,전분기대비,20년 01,전분기대비,20년 02,전분기대비,20년 03,전분기대비,20년 04,전분기대비,21년 01,전분기대비,,전년대비,,,,,,,,
대전,서구,,-0.5,-0.6,-0.1,-0.2,0.4,3.4,3.6,4.8,1.4,6,1.2,9.1,3.1,14.9,5.8,24.4,9.5,32.4,8.0,37.8,5.4,44.7,6.9,54.6,9.9,,2.3,,,,23.3,,,,21.9
대전,유성구,,0.1,0.3,0.2,1.2,0.9,3.4,2.2,4.8,1.4,6.5,1.7,11.7,5.2,19,7.3,26.3,7.3,33.8,7.5,42.1,8.3,51.5,9.4,62.6,11.1,,5.3,,,,19.6,,,,30.2
대전,대덕구,,-1.8,-2,-0.2,-2.7,-0.7,-3.3,-0.6,-3.9,-0.6,-3.4,0.5,-1.8,1.6,0.6,2.4,5.1,4.5,9.5,4.4,16.2,6.7,23.4,7.2,28.6,5.2,,4.7,,,,21.5,,,,36.3
울산,중구,,-1.4,-4.1,-2.7,-8.7,-4.6,-9.9,-1.2,-12.1,-2.2,-13.2,-1.1,-13.4,-0.2,-10.9,2.5,-8.6,2.3,-8,0.6,-5,3.0,2.3,7.3,8,5.7,,-2.1,,,,9,,,,23.5
울산,남구,,-2,-4.1,-2.1,-7.7,-3.6,-9.2,-1.5,-11.2,-2.0,-12.2,-1.0,-12,0.2,-8.2,3.8,-3.4,4.8,-1.4,2.0,3.7,5.1,15.2,11.5,24.3,9.1,,-10.7,,,,3.5,,,,16.6
울산,동구,,-3.1,-6.5,-3.4,-9.2,-2.7,-12.3,-3.1,-14.9,-2.6,-14.6,0.3,-17.3,-2.7,-16.7,0.6,-16.3,0.4,-18.1,-1.8,-17.7,0.4,-13.7,4.0,-9.2,4.5,,-9.2,,,,7.8,,,,27.7
울산,북구,,-4.9,-8.1,-3.2,-13,-4.9,-14.7,-1.7,-17.8,-3.1,-19.1,-1.3,-19.6,-0.5,-16.8,2.8,-13.8,3.0,-12.2,1.6,-10.3,1.9,-4,6.3,5.3,9.3,,-11.8,,,,-1.4,,,,7.1
울산,울주군,,-2.3,-5,-2.7,-8.6,-3.6,-10.1,-1.5,-12.7,-2.6,-13.9,-1.2,-14.9,-1.0,-14.4,0.5,-12.7,1.7,-12.6,0.1,-11.1,1.5,-5.8,5.3,-0.4,5.4,,-12.9,,,,4,,,,19.1
경기,수원시,,0.2,0.6,0.4,1.7,1.1,3.6,1.9,3.2,-0.4,2,-1.2,2.6,0.6,5.7,3.1,17.6,11.9,27.5,9.9,33.3,5.8,39.4,6.1,51.6,12.2,,-10.4,,,,0,,,,12.3
경기,,장안구,-0.2,-0.5,-0.3,0.2,0.7,1.8,1.6,2.2,0.4,1,-1.2,1.2,0.2,1.8,0.6,10,8.2,20,10.0,25.6,5.6,30.1,4.5,41.1,11.0,,3,,,,14.4,,,,34
경기,,권선구,-0.8,-1,-0.2,-1,0.0,0.4,1.4,0.3,-0.1,-1.1,-1.4,-0.5,0.6,1.7,2.2,12.7,11.0,22,9.3,26.3,4.3,31.5,5.2,41.7,10.2,,2.4,,,,7.8,,,,31.1
경기,,팔달구,0.6,1.5,0.9,3.8,2.3,7.8,4.0,8.6,0.8,7.5,-1.1,8.3,0.8,12.8,4.5,26.7,13.9,37.9,11.2,42,4.1,47.4,5.4,59.4,12.0,,1.1,,,,12.4,,,,29
