,address,Latitude,Longitude
202,서울특별시 강동구 명일로 376,37.55232896,127.1509152
203,서울특별시 강동구 명일로12길 56,37.53289618,127.1478828
204,서울특별시 강동구 상암로 11,37.55344749,127.12566
205,서울특별시 강동구 상암로 224,37.54617499,127.1483403
206,서울특별시 강동구 상암로 251,37.54859381,127.1506883
207,서울특별시 강동구 상암로12길 13,37.54855396,127.1284487
208,서울특별시 강동구 상암로12길 24,37.54877075,127.1278567
209,서울특별시 강동구 상암로3길 77,37.55417146,127.1272373
210,서울특별시 강동구 상암로51길 61,37.54866168,127.1461523
211,서울특별시 강동구 상암로79길 88,37.55020472,127.1660592
212,서울특별시 강동구 상암로81길 7,37.54607178,127.1674419
213,서울특별시 강동구 상일로 152,37.56163549,127.1713462
214,서울특별시 강동구 상일로 55,37.55331821,127.1687882
215,서울특별시 강동구 상일로 74,37.55136837,127.1747855
216,서울특별시 강동구 성안로25길 15,37.53786553,127.1348114
217,서울특별시 강동구 성안로25길 6,37.53830263,127.1347907
218,서울특별시 강동구 아리수로50길 50,37.55768914,127.1486002
219,서울특별시 강동구 아리수로93가길 25,37.56686794,127.1720243
220,서울특별시 강동구 아리수로93길 40,37.56551714,127.1751066
221,서울특별시 강동구 아리수로94길 19,37.56273301,127.1772602
222,서울특별시 강동구 아리수로94길 72,37.5607223,127.1762696
223,서울특별시 강동구 아리수로97길 19,37.56699524,127.1767913
224,서울특별시 강동구 아리수로97길 20,37.56851427,127.1781372
225,서울특별시 강동구 아리수로97길 68,37.56873076,127.1766546
226,서울특별시 강동구 아리수로98길 25,37.56527657,127.178359
227,서울특별시 강동구 암사19길 25,37.55182509,127.1403557
228,서울특별시 강동구 양재대로 1557,37.54484927,127.1422519
229,서울특별시 강동구 양재대로 1650,37.55438988,127.1459181
230,서울특별시 강동구 양재대로 1706,37.55795484,127.1462943
231,서울특별시 강동구 양재대로123길 30,37.54373189,127.1402632
232,서울특별시 강동구 양재대로134길 87,37.54868085,127.1489071
233,서울특별시 강동구 양재대로96길 79,37.52904287,127.1414901
234,서울특별시 강동구 올림픽로 664,37.54055538,127.1249758
235,서울특별시 강동구 올림픽로104길 42,37.5551398,127.1319645
236,서울특별시 강동구 올림픽로70길 61,37.53940184,127.1269895
237,서울특별시 강동구 올림픽로81길 15,37.54414353,127.1244508
238,서울특별시 강동구 올림픽로89길 55,37.54695219,127.1225742
239,서울특별시 강동구 올림픽로89길 58,37.54825731,127.1235926
240,서울특별시 강동구 올림픽로91길 30,37.54893395,127.125137
241,서울특별시 강동구 진황도로 211,37.52734485,127.1448302
242,서울특별시 강동구 진황도로 212,37.52720774,127.1433319
243,서울특별시 강동구 진황도로 47-2,37.53855616,127.1329657
244,서울특별시 강동구 진황도로 85,37.5366246,127.136133
245,서울특별시 강동구 진황도로 87,37.53636745,127.1364428
246,서울특별시 강동구 진황도로61길 7,37.52940171,127.1438252
247,서울특별시 강동구 천중로 161,37.54164126,127.1378492
248,서울특별시 강동구 천중로 253,37.54090932,127.1479462
249,서울특별시 강동구 천중로49길 58,37.54351411,127.1441637
250,서울특별시 강동구 천중로50길 48-12,37.5391494,127.1418579
251,서울특별시 강동구 천호대로 1055,37.53836972,127.1294245
252,서울특별시 강동구 천호대로 1055,37.53836972,127.1294245
253,서울특별시 강동구 천호대로 1077,37.53725665,127.1314376
254,서울특별시 강동구 천호대로 1089,37.53660488,127.1331156
255,서울특별시 강동구 천호대로 1092,37.53524776,127.1326638
256,서울특별시 강동구 천호대로 1095,37.53594221,127.1336623
257,서울특별시 강동구 천호대로 1120,37.53445052,127.1356292
258,서울특별시 강동구 천호대로 1231,37.53638533,127.147066
259,서울특별시 강동구 천호대로 1239,37.53786128,127.148277
260,서울특별시 강동구 천호대로 1240,37.53591594,127.1479832
261,서울특별시 강동구 천호대로168길 25,37.53468695,127.1328454
262,서울특별시 강동구 천호대로168길 58,37.53302749,127.1308326
263,서울특별시 강동구 천호옛12길 27,37.53515427,127.1271458
264,서울특별시 강동구 풍성로 114-1,37.53173127,127.124194
265,서울특별시 강동구 풍성로 196,37.52945054,127.132988
266,서울특별시 강동구 풍성로37길 55,37.53441947,127.1264212
267,서울특별시 강동구 풍성로38길 22,37.53108934,127.1245
268,서울특별시 강동구 풍성로65길 34,37.52947232,127.1404823
269,서울특별시 강북구 덕릉로41길 12,37.63564097,127.0320773
270,서울특별시 강북구 도봉로68길 26,37.63098993,127.0261286
271,서울특별시 강북구 도봉로98길 33,37.64130129,127.0315024
272,서울특별시 강북구 삼각산로 143-1,37.64265579,127.019639
273,서울특별시 강북구 삼양로 256,37.62628401,127.0188996
274,서울특별시 강북구 삼양로 658,37.66203505,127.013771
