,address,station3,market,school,bank,cafe,hospital
195,서울특별시 강동구 동남로49길 60-5,0.0,10.0,60.0,15.0,44.0,35.0
196,서울특별시 강동구 동남로79길 26,20.0,50.0,80.0,2.0,29.0,14.0
197,서울특별시 강동구 명일로 102,0.0,10.0,120.0,7.0,19.0,19.0
198,서울특별시 강동구 명일로 113,0.0,10.0,100.0,10.0,39.0,27.0
199,서울특별시 강동구 명일로 172,0.0,20.0,60.0,14.0,54.0,27.0
200,서울특별시 강동구 명일로 260,0.0,20.0,60.0,11.0,31.0,12.0
201,서울특별시 강동구 명일로 293,20.0,40.0,20.0,21.0,61.0,35.0
202,서울특별시 강동구 명일로 376,20.0,60.0,100.0,17.0,50.0,53.0
203,서울특별시 강동구 명일로12길 56,0.0,10.0,60.0,9.0,27.0,28.0
204,서울특별시 강동구 상암로 11,20.0,20.0,40.0,11.0,41.0,57.0
205,서울특별시 강동구 상암로 224,20.0,30.0,40.0,15.0,54.0,28.0
206,서울특별시 강동구 상암로 251,0.0,40.0,60.0,15.0,50.0,17.0
207,서울특별시 강동구 상암로12길 13,50.0,50.0,60.0,20.0,72.0,60.0
208,서울특별시 강동구 상암로12길 24,50.0,40.0,60.0,18.0,71.0,61.0
209,서울특별시 강동구 상암로3길 77,20.0,30.0,20.0,7.0,37.0,54.0
210,서울특별시 강동구 상암로51길 61,40.0,50.0,100.0,23.0,80.0,66.0
211,서울특별시 강동구 상암로79길 88,0.0,30.0,120.0,0.0,12.0,4.0
212,서울특별시 강동구 상암로81길 7,0.0,20.0,80.0,3.0,7.0,4.0
213,서울특별시 강동구 상일로 152,0.0,20.0,20.0,9.0,23.0,24.0
214,서울특별시 강동구 상일로 55,20.0,30.0,100.0,6.0,28.0,28.0
215,서울특별시 강동구 상일로 74,0.0,20.0,60.0,8.0,27.0,9.0
216,서울특별시 강동구 성안로25길 15,40.0,60.0,40.0,35.0,88.0,95.0
217,서울특별시 강동구 성안로25길 6,40.0,50.0,40.0,30.0,80.0,94.0
218,서울특별시 강동구 아리수로50길 50,0.0,60.0,100.0,1.0,16.0,9.0
219,서울특별시 강동구 아리수로93가길 25,0.0,10.0,20.0,6.0,9.0,17.0
220,서울특별시 강동구 아리수로93길 40,0.0,20.0,40.0,7.0,8.0,17.0
221,서울특별시 강동구 아리수로94길 19,0.0,20.0,100.0,8.0,8.0,18.0
222,서울특별시 강동구 아리수로94길 72,20.0,20.0,40.0,2.0,2.0,11.0
223,서울특별시 강동구 아리수로97길 19,0.0,30.0,60.0,8.0,8.0,17.0
224,서울특별시 강동구 아리수로97길 20,0.0,40.0,80.0,6.0,25.0,9.0
225,서울특별시 강동구 아리수로97길 68,0.0,40.0,60.0,5.0,19.0,23.0
226,서울특별시 강동구 아리수로98길 25,0.0,30.0,120.0,10.0,8.0,18.0
227,서울특별시 강동구 암사19길 25,20.0,70.0,80.0,11.0,50.0,67.0
228,서울특별시 강동구 양재대로 1557,50.0,50.0,20.0,24.0,64.0,35.0
229,서울특별시 강동구 양재대로 1650,20.0,70.0,120.0,11.0,37.0,47.0
230,서울특별시 강동구 양재대로 1706,0.0,70.0,80.0,2.0,11.0,13.0
231,서울특별시 강동구 양재대로123길 30,20.0,50.0,40.0,22.0,57.0,30.0
232,서울특별시 강동구 양재대로134길 87,0.0,40.0,60.0,14.0,55.0,38.0
233,서울특별시 강동구 양재대로96길 79,20.0,10.0,120.0,8.0,42.0,19.0
234,서울특별시 강동구 올림픽로 664,70.0,50.0,0.0,33.0,111.0,134.0
235,서울특별시 강동구 올림픽로104길 42,0.0,40.0,60.0,5.0,37.0,18.0
236,서울특별시 강동구 올림픽로70길 61,70.0,70.0,0.0,34.0,126.0,137.0
237,서울특별시 강동구 올림픽로81길 15,0.0,30.0,20.0,18.0,44.0,49.0
238,서울특별시 강동구 올림픽로89길 55,0.0,30.0,40.0,7.0,36.0,3.0
239,서울특별시 강동구 올림픽로89길 58,20.0,20.0,40.0,8.0,53.0,39.0
240,서울특별시 강동구 올림픽로91길 30,50.0,40.0,40.0,14.0,63.0,59.0
241,서울특별시 강동구 진황도로 211,20.0,10.0,100.0,8.0,8.0,18.0
242,서울특별시 강동구 진황도로 212,20.0,10.0,100.0,8.0,14.0,16.0
243,서울특별시 강동구 진황도로 47-2,20.0,60.0,20.0,20.0,105.0,72.0
244,서울특별시 강동구 진황도로 85,40.0,50.0,40.0,37.0,99.0,109.0
245,서울특별시 강동구 진황도로 87,40.0,50.0,20.0,38.0,100.0,109.0
246,서울특별시 강동구 진황도로61길 7,20.0,10.0,100.0,9.0,39.0,19.0
247,서울특별시 강동구 천중로 161,20.0,50.0,40.0,18.0,55.0,43.0
248,서울특별시 강동구 천중로 253,0.0,20.0,60.0,11.0,30.0,11.0
249,서울특별시 강동구 천중로49길 58,50.0,50.0,0.0,21.0,60.0,36.0
250,서울특별시 강동구 천중로50길 48-12,50.0,30.0,40.0,23.0,69.0,65.0
251,서울특별시 강동구 천호대로 1055,40.0,70.0,20.0,31.0,127.0,109.0
252,서울특별시 강동구 천호대로 1055,40.0,70.0,20.0,31.0,127.0,109.0
253,서울특별시 강동구 천호대로 1077,50.0,60.0,20.0,26.0,126.0,90.0
254,서울특별시 강동구 천호대로 1089,50.0,60.0,20.0,25.0,95.0,65.0
255,서울특별시 강동구 천호대로 1092,50.0,70.0,20.0,24.0,95.0,66.0
256,서울특별시 강동구 천호대로 1095,50.0,60.0,20.0,28.0,99.0,68.0
257,서울특별시 강동구 천호대로 1120,20.0,50.0,20.0,34.0,105.0,84.0
258,서울특별시 강동구 천호대로 1231,0.0,20.0,20.0,13.0,38.0,26.0
259,서울특별시 강동구 천호대로 1239,0.0,10.0,60.0,11.0,27.0,25.0
260,서울특별시 강동구 천호대로 1240,0.0,10.0,20.0,12.0,32.0,21.0
261,서울특별시 강동구 천호대로168길 25,50.0,70.0,20.0,26.0,99.0,65.0
262,서울특별시 강동구 천호대로168길 58,20.0,70.0,40.0,17.0,88.0,43.0
263,서울특별시 강동구 천호옛12길 27,60.0,80.0,0.0,22.0,114.0,80.0
264,서울특별시 강동구 풍성로 114-1,20.0,70.0,80.0,23.0,92.0,22.0
265,서울특별시 강동구 풍성로 196,20.0,20.0,40.0,16.0,96.0,51.0
266,서울특별시 강동구 풍성로37길 55,20.0,80.0,20.0,22.0,99.0,78.0
267,서울특별시 강동구 풍성로38길 22,20.0,60.0,80.0,24.0,103.0,25.0
268,서울특별시 강동구 풍성로65길 34,20.0,20.0,100.0,9.0,51.0,37.0
269,서울특별시 강북구 덕릉로41길 12,0.0,30.0,40.0,11.0,29.0,8.0
270,서울특별시 강북구 도봉로68길 26,20.0,40.0,80.0,19.0,46.0,36.0
271,서울특별시 강북구 도봉로98길 33,0.0,20.0,20.0,22.0,61.0,26.0
272,서울특별시 강북구 삼각산로 143-1,50.0,10.0,0.0,22.0,59.0,32.0
273,서울특별시 강북구 삼양로 256,50.0,60.0,20.0,11.0,24.0,24.0
274,서울특별시 강북구 삼양로 658,50.0,10.0,0.0,3.0,17.0,3.0
275,서울특별시 강북구 삼양로19길 113,0.0,40.0,140.0,19.0,39.0,48.0
276,서울특별시 강북구 삼양로19길 113,0.0,40.0,140.0,19.0,39.0,48.0
277,서울특별시 강북구 삼양로19길 25,0.0,50.0,100.0,17.0,29.0,25.0
278,서울특별시 강북구 삼양로24길 19,20.0,60.0,80.0,20.0,41.0,43.0
279,서울특별시 강북구 삼양로27길 19,0.0,50.0,100.0,17.0,33.0,30.0
280,서울특별시 강북구 삼양로27길 95,50.0,30.0,140.0,17.0,35.0,46.0
281,서울특별시 강북구 삼양로74길 8,50.0,30.0,20.0,10.0,27.0,25.0
282,서울특별시 강북구 솔샘로 159,50.0,20.0,80.0,7.0,15.0,18.0
